Company_name,Company_website,Practitioner_names,url,Company_address
"
	Access Physical Therapy and Wellness",," Amr Elbegrmi, Director ",https://concussioncareproviders.com/listing/access-physical-therapy-and-wellness-4/,"
	341 Central Park Avenue #1-164 Scarsdale New York 110583 United States"
"
	Twin Cities Orthopedics",https://tcomn.com/therapists/timothy-hafemeyer/,"Tim Hafemeyer, PT ",https://concussioncareproviders.com/listing/twin-cities-orthopedics-7/,"
	5715 Memorial Ave N, Oak Park Heights, MN 55082, United States"
"
	Belmont University",,"Ann Shikles, PT ",https://concussioncareproviders.com/listing/belmont-university-21/,"
	1900 Belmont Blvd, Nashville, TN 37212, United States"
"
	Advanced Physical Therapy and Sports Medicine – Champion Center",https://www.advancedptsm.com,"Katey Miller, PT ",https://concussioncareproviders.com/listing/advanced-physical-therapy-and-sports-medicine-champion-center/,"
	Community First Champion Center, W Champion Dr, Appleton, WI, USA"
"
	Advanced Orthopedic Physical Therapy",https://advancedorthopt.com/,"Nathan Phelps, PT ",https://concussioncareproviders.com/listing/advanced-orthopedic-physical-therapy/,"
	700 Deborah Road, Suite 190, Newberg, OR, USA"
"
	Belmont University",,"Leslie Dunn, PT ",https://concussioncareproviders.com/listing/belmont-university-20/,"
	1900 Belmont Blvd, Nashville, TN 37212, United States"
"
	Madison Regional Health System",," Charity Olson, OT ",https://concussioncareproviders.com/listing/madison-regional-health-system/,"
	323 10th St SW, Madison, SD 57042, United States"
"
	Belmont University",,"Kristen Larson, PT ",https://concussioncareproviders.com/listing/belmont-university-22/,"
	1900 Belmont Blvd, Nashville, TN 37212, United States"
"
	Peak Physical Therapy and Sport Performance",https://www.peaktherapy.com/,"Camden Marcotte, PT ",https://concussioncareproviders.com/listing/peak-physical-therapy-and-sport-performance/,"
	2300 Crown Colony Drive, Quincy, Massachusetts 02169, United States"
"
	Belmont University",,"Payton McLaughlin, PT ",https://concussioncareproviders.com/listing/belmont-university-23/,"
	1900 Belmont Blvd, Nashville, TN 37212, United States"
"
	Belmont University – Physical Therapy Department",,"Ryan Lingerfelt, PT ",https://concussioncareproviders.com/listing/belmont-university-physical-therapy-department/,"
	1900 Belmont Blvd Nashville TN 37212 United States"
"
	UPMC Concussion Program – Central PA",,"Corrina Parsons, PT ",https://concussioncareproviders.com/listing/upmc-concussion-program-central-pa/,"
	4310 Londonderry Road, Suite 100, Harrisburg, Pennsylvania 17109, United States"
"
	Sea to Sky Sport Phys",," Janali Gustafson, Interim PT, DPT ",https://concussioncareproviders.com/listing/sea-to-sky-sport-phys/,"
	201-37979 Cleveland Ave Squamish BC V8B0B1 Canada"
,," Sarah Schwarz, ",https://concussioncareproviders.com/listing/7317/,
"
	MHealth Fairview Rehabilitation",,"Emily Henrich, PT ",https://concussioncareproviders.com/listing/mhealth-fairview-rehabilitation/,"
	1825 Woodwinds Drive Woodbury MN 55125 United States"
"
	Unity Medical Center",https://www.unitymedcenter.com/,"Briana Lazur, ATC/LAT/CAT(C) ",https://concussioncareproviders.com/listing/unity-medical-center/,"
	164 W 13th St Grafton ND 58237 United States"
